id,name,country,city,sphere,type,year_creation,number_employees,url
992,"Macdonald, Terrell and Gray",Восточный Тимор,п. Горячий Ключ,Информационные технологии,4,1993,631,"Macdonald, Terrell and Gray.com"
993,Turner LLC,Словакия,ст. Усть-Кулом,Дистрибутор сетевого и телекоммуникационного оборудования,1,2000,3116,Turner LLC.com
994,Ortiz-Middleton,Никарагуа,к. Череповец,СМИ,9,1987,5259,Ortiz-Middleton.com
995,"Mcdonald, Martinez and Bailey",Германия,п. Андреаполь,Бытовая электроника,4,2002,3350,"Mcdonald, Martinez and Bailey.com"
996,Phillips-Martin,ОАЭ,г. Томари,Информационные технологии,1,1988,6807,Phillips-Martin.com
997,"Lopez, Smith and Kelley",Кувейт,с. Солнечногорск,Розничная торговля,8,1990,617,"Lopez, Smith and Kelley.com"
998,Bryant Group,Люксембург,клх Шали,Бытовая электроника,9,2022,2494,Bryant Group.com
999,Thomas Group,Нигерия,с. Комсомольск-на-Амуре,Дистрибутор сетевого и телекоммуникационного оборудования,7,1987,1540,Thomas Group.com
1000,Estrada-Zimmerman,Польша,ст. Владимир,Разработка програмного обеспечения,4,2002,9616,Estrada-Zimmerman.com
1001,Ritual Entertainment,Даллас,Даллас,Индустрия компьютерных игр,4,2002,9616,deck13.com
1002,Strategy First,Англия,Монреаль,Индустрия компьютерных игр,2,1996,1406,www.ritualistic.com
1003,Kheops Studio,Франция,Париж,Индустрия компьютерных игр,2,1988,2398,StrategyFirst.com
1004,Monte Cristo,Франция,Париж,Индустрия компьютерных игр,3,2003,2398,kheopsstudio.com
1005,Sick Puppies,США,Вашингтон,Индустрия компьютерных игр,2,1995,203,Monte Cristo
1006,Eidos Interactive,Великобритания,Лондон,Индустрия компьютерных игр,2,1995,3080,sick.com
1007,Big Fish Games,США,Сиэтл,Индустрия компьютерных игр,1,1984,2239,eidosmontreal.com
1008,Best Way,Украина,Черкасская,Индустрия компьютерных игр,3,2002,4059,bigfishgames.com​ (англ.)
1009,RCA Studio II,США,Вашингтон,Индустрия компьютерных игр,2,1991,3078,bestway.com.ua
1010,Deck13 Interactive,Франкфурт-на-Майне,Германия,Индустрия компьютерных игр,2,1991,3360,studio.com
1011,Gamebryo,США,Вашингтон,Индустрия компьютерных игр,4,2001,2771,deck13.com
1012,NeocoreGames,США,Вашингтон,Индустрия компьютерных игр,2,2001,4690,gamebryo.com
1013,Paradox Interactive,Швеция,Стокгольм,Индустрия компьютерных игр,2,2005,3764,neocoregames.com
1014,BattleGoat Studios,Канада,Анкастер,Индустрия компьютерных игр,1,1998,293,paradoxinteractive.com
1015,Synetic GmbH,Германия,Гютерсло,Индустрия компьютерных игр,2,2000,2052,battlegoat.com
1016,Centauri Production,Чехия,Прага,Индустрия компьютерных игр,2,1996,789,synetic.de
1017,Two Tribes,США,Вашингтон,Индустрия компьютерных игр,3,2000,1001,Centauri Production
1018,Amanita Design,Чехия,Брно,Индустрия компьютерных игр,2,1996,2734,two.com
1019,Airtight Games,США,Редмонд,Индустрия компьютерных игр,4,2003,3193,amanita-design.net
1020,Atari,США,Калифорния,Индустрия компьютерных игр,2,2004,3024,airtightgames.com
1021,HandyGames,Германия,Гибельштадт,Индустрия компьютерных игр,1,1980,4479,atari.com
1022,Focus Entertainment,Франция,Париж,Индустрия компьютерных игр,4,2000,2925,handy-games.com
1023,Bethesda Softworks,США,Роквилл,Индустрия компьютерных игр,1,1996,4889,focus-entmt.com​ (англ.)
1024,Unknown Worlds Entertainment,США,Сан-Франциско,Индустрия компьютерных игр,2,2001,4540,unknownworlds.com
1025,Cryptic Studios,США,Лос-Гатос,Индустрия компьютерных игр,3,2000,2283,crypticstudios.com
1026,Saber Interactive,Португалия,Порту,Индустрия компьютерных игр,3,2001,2941,saber.games
1027,Age of Empires (серия игр),США,Вашингтон,Индустрия компьютерных игр,2,2001,2155,empires.com
1028,KranX Productions,Светлогорск,Светлогорск,Индустрия компьютерных игр,2,2004,1871,kranx.com
1029,Ice-Pick Lodge,Москва,Россия,Индустрия компьютерных игр,2,2002,1490,ice-pick.com/ru/
1030,SkyRiver Studios,Россия,Самара,Индустрия компьютерных игр,2,2001,1152,Skyriver.ru
1031,Iceberg Interactive,Нидерланды,Хаарлем,Индустрия компьютерных игр,2,2009,2697,Iceberg-games.com
1032,CI Games,Польша,Варшава,Индустрия компьютерных игр,1,2002,3664,[Официальный сайт
